Nombre,Marca,Modelo,C_General,C_Vida,C_Diseño,C_Manejo,C_Performance,A_favor,En_contra,keyPhrasesFavor,ScoresFavor,keyPhrasesContra,ScoresContra
Volkswagen Tiguan Allspace 2.0 TDI 4Motion,Volkswagen,Tiguan Allspace 2.0 TDI 4Motion,8.0,8.1,8.2,8.0,7.9,"Consumo austero,Habitabilidad correcta,Distancias de frenado,Baúl con cinco plazas","Auxilio temporal,Baúl limitado con 7 plazas,Espacio reducido 3ra fila,Precio elevado","Consumo austero,","0.9338735342025757,","Auxilio temporal,Baúl limitado,7 plazas,Espacio reducido,3ra,fila,","0.9999995231628418,0.999653697013855,0.9994179010391235,0.8858947157859802,0.5881758332252502,0.6078946590423584,"
Toyota Etios Hatchback XLS AT,Toyota,Etios Hatchback XLS AT,7.2,7.3,6.6,7.2,7.5,"Eficiencia del motor,Equilibrio suspensiones,Habitabilidad general,ESP de serie,Garantía","Ubicación instrumental,Multimedia anticuada,Posición de manejo,Distancias de frenado,Caja de 4ta",,,"Ubicación,","0.9583194255828857,"
Porsche Macan,Porsche,Macan,8.0,8.0,8.5,8.1,8.5,"Prestaciones,Comportamiento general,Equipo de confort,Capacidad de baúl","Garantía limitada,Capacidades off road,Plazas traseras,Precio comparativo","Prestaciones,Comportamiento general,Equipo,Capacidad,","1.0,0.9423617124557495,0.8910590410232544,0.9607698917388916,","Garantía limitada,Capacidades,road,","0.9868874549865723,0.9701734781265259,0.5789754390716553,"
Volkswagen Tiguan Allspace 1.4 TSI DSG 4×2,Volkswagen,Tiguan Allspace 1.4 TSI DSG 4x2,8.0,8.3,8.1,8.1,7.9,"Eficiencia de los frenos,Consumo promedio,Precio comparativo,Espacio interior,Baúl con cinco plazas","Baúl con 7 plazas,Luces halógenas,Espacio tercera fila,Auxilio temporal,Equipamiento acotado",,,,
Toyota Camry V6 3.5 Automático,Toyota,Camry V6 3.5 AT,8.0,8.4,7.8,7.7,7.7,"Prestaciones,Habitabilidad,Confort urbano,Baúl/auxilio,Multimedia","Consumo,Faltantes de equipamiento,Autonomía,Sin levas,Precio para generalista","Prestaciones,Baúl,auxilio,","0.999974250793457,0.9963858127593994,0.7871568202972412,",,
Audi Q2 Sport 1.4 AT,Audi,Q2 Sport 1.4 AT,7.9,7.9,7.9,7.8,8.1,"Diseño juvenil,Motor/caja,Alcance lumínico,Consumo,Instrumental","Auxilio temporal,Precio comparativo,Confort en ciudad,Plazas posteriores,Precio con opcionales","Diseño juvenil,lumínico,","0.9726205468177795,0.9819560647010803,","Auxilio,","0.999424934387207,"
Chevrolet Onix Plus Premier II AT,Chevrolet,Onix Plus Premier AT,7.9,7.8,7.9,7.5,7.9,"Prestaciones,Desempeño dinámico,Consumos contenidos,Mejoras en seguridad,Habitabilidad posterior,Multimedia y Wifi,Precio competitivo","Comando de caja,Algunos materiales,Capacidad tanque/baúl,Vibraciones en ralentí,Auxilio temporal",,,"baúl,","0.9568987488746643,"
Jeep Wrangler,Jeep,Wrangler Unlimited Rubicon,7.3,7.6,8.0,7.4,7.6,"Capacidad off road,Look imponente,Calidad general,Modularidad carrocería,Equipamiento de confort","Eficiencia del V6,Precio elevado,Distancia de frenado,Sin ADAS,Rumorosidad","Capacidad,","0.9455171227455139,","Eficiencia,V6,","0.9999988079071045,0.968907356262207,"
Volkswagen Amarok V6 258 CV Black Style,Volkswagen,Amarok V6 Black Style,7.8,7.9,7.6,8.2,7.9,"Potencia incrementada,Confort de marcha,Look diferencial,Consumo mixto,Posición de manejo","Sin airbags de cortina,Falta de ADAS,Neumáticos citadinos,Sólo automática","Potencia incrementada,Confort,marcha,diferencial,mixto,","0.999337911605835,0.9801433682441711,0.9068281054496765,0.999922513961792,0.9875004291534424,","airbags,cortina,Falta de ADAS,Neumáticos citadinos,","1.0,0.9994971752166748,0.9999714493751526,0.9999995231628418,"
Audi Q8 55 TFSI 3.0 V6 Quattro,Audi,Q8 55 TFSI 3.0 V6 Quattro,8.2,8.0,8.8,8.1,8.3,"Diseño diferenciador,Presentación general,Comodidad interior,Capacidad de Baúl,Equipamiento de serie,Suspensiones adaptativas","Dirección sobreasistida,Precio con opcionales,Faltan portaobjetos,Dosificación pedal de freno",,,"Dirección sobreasistida,","0.9852055311203003,"
Audi Q5 Quattro 2.0 AT,Audi,Q5 quattro 2.0 AT,8.4,8.6,8.4,8.2,8.0,"Confort de marcha,Habitabilidad,Prestaciones,Insonorización,Diseño","Precio,Sin cámara,Consumo (promedio),Auxilio temporal,Quinta plaza","Confort,marcha,Habitabilidad,Prestaciones,Insonorización,","0.999976634979248,0.999920129776001,0.5140814185142517,0.9611054062843323,0.8965401649475098,","Precio,cámara,(promedio),Auxilio temporal,","0.9961915016174316,0.999974250793457,0.7842906713485718,0.981916069984436,"
