nombre,version,cal_general,cal_acabados,cal_seguridad,cal_equipamiento,cal_Infotenimiento,cal_comportamiento,cal_motor,cal_transmision,cal_consumo,cal_espacio,cal_precio,a_favor,en_contra
,,,,,,,,,,,,,,
Abarth 500 ,Tributo México (TM),7.9,7,9,8,5,9,10,10,8,6,7,"Apariencia deportiva,Sonido de escape (ADICTIVO),Manejo preciso y rabioso","No hay casi espacio al interior,La pantalla del sistema de infotenimiento es muy pequeña y se siente vieja,A pesar de tener poco kilometraje ya se notan ruidos al interior de las puertas y algunos plásticos"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Renault Sandero R.S. ,Única versión,7.8,7,6,8,7,8.5,8.5,9,9,8.5,7,"La respuesta del motor es muy buena.,El chasís es más deportivo de lo que imaginábamos en principio.,Buen espacio interior.","Los acabados son muy sencillos. ,Sólo tiene dos bolsas de aire y una estrella en Latin NCAP.,El volante no tiene ajuste de profundidad."
Ford Mustang ,Bullit 2019,8.1,8,8,9,10,8,8.5,10,6.5,6,7,"Los niveles ajustables de sonido del escape y el ruido resultante son maravillosos.,Es la mejor entrega de un Mustang GT Premium, Ford debería considerar aplicar estas mejoras para los V8.,La transmisión con Rev-Matching y pasos cortos es una delicia.","Que no se haya elegido el motor 5.2 l del Shelby GT-350 con el setting del Bullit.,Es un coupé 2+2 demasiado grande, 15% menos de dimensiones (y peso) y adiós deportivos europeos.,A la altitud de la CDMX se percibe la merma de potencia del V8 aspirado, se compensa con el bestial rugido a toda velocidad."
Volkswagen Jetta GLI ,35º aniversario,9.0,8.5,10,9,10,9,9,10,8,9,7.5,"El equilibrio entre deportividad y confort.,En modo Sport es verdaderamente rabioso.,El rendimiento de combustible es bastante razonable.,Muy buen nivel de equipamiento.","Faltan amenidades en las plazas traseras.,Son más de 500,000 pesos por un Jetta. ,El cuadro de instrumentos digital podría integrarse mejor al teléfono."
KIA Forte Hatchback ,GT,8.6,7.5,9,9,8,9,8.5,10,9,8,,"Ofrece sensaciones deportivas sin sacrificar confort.,El rendimiento de combustible es bueno.,Promete alto desempeño a un precio razonable.,¡Está disponible con transmisión manual!","Algunos acabados pueden mejorar.,El sonido del motor simulado a través de las bocinas suena falso."
,,6.9,6,6.5,7,7.5,5,5,5,8.5,10,9,"Hay espacio para siete pasajeros.,La configuración de asientos es muy versátil.,El rendimiento de combustible es bueno.","Acabados de percepción económica.,Hay mucha tendencia a inclinar la carrocería en curvas.,Sólo lleva dos bolsas de aire y el ESC es exclusivo de la versión más equipada.,El motor le queda apretado."
Lincoln MKC ,Reserve,8.9,8,10,10,9,8,10,8.5,8,8,9,"La relación valor/precio es muy buena. ,Hay mucha carga tecnológica en favor de la seguridad.,La respuesta del motor, muy buena.",Algunos acabados pueden mejorar.
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BMW M2 ,Competition,8.5,10,8,8,8,10,10,9,7.5,7.5,7,"Que sea tan bueno -o mejor- que un M4, a menos que seas un M4.,La facilidad de manejo a cualquier velocidad.,Está enfocado para los puristas, lo cual es muy bueno porque cada vez hay menos coches así.","La suspensión es muy dura para la calidad del pavimento mexicano, no es culpa del coche, son circunstancias irremediables por nosotros.,Al interior le urge una actualización total, empezando por un modo Comfort de manejo y casilla ""P"" en el selector de cambios.,Que lo hayamos tenido que devolver..."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Suzuki Ertiga ,GLX,7.5,7,6.5,7.5,8,7,8,6,7,10,8.5,"El espacio interior y su versatilidad.,La visibilidad, ventanas enormes.,Suavidad en todo aspecto para vivir en un ciudad tan caótica.","¿Transmisión automática de cuatro cambios en 2018?,Dirección poco precisa,Mucho balanceo de carrocería por su altura y suspensión suave.,Los consumos se disparan mucho en tráfico pesado por los cuatro cambios de la caja."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Chrysler Pacifica ,Limited,8.2,7,7.5,8.5,9,8,10,9,5,10,8,"Queda mucho espacio en dos niveles para equipaje detrás de la tercera fila.,La practicidad del sistema Stow&Go, aunque su funcionamiento no sea el más sencillo.,La comodidad de marcha en conjunto con el aislamiento de ruido exterior.","Consume mucha gasolina, y con 7 pasajeros, la cuenta sale cara incluso por cabeza.,Que la iluminación principal sea de halógeno debería ser cosa del pasado.,Son tantas las piezas movibles, que hay muchos rechinidos al interior."
Toyota Corolla ,XSE (EE. UU.),8.4,8.5,10,9,8,8,8,7.5,9.5,7,,"Su diseño por fin tiene personalidad.,La calidad de marcha mejora muchísimo.,El equipamiento de serie, al menos en EE. UU., es muy completo.","Poco espacio interior... en el hatchback.,La transmisión CVT ha mejorado, pero aún no es perfecta.,Quizá no llegue a México con esta carrocería."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Volkswagen Touareg ,Wolfsburg Edition,8.5,9,7,7,8,8.5,10,8.5,10,9,8,"La relación potencia/consumo y el enorme par motor.,La calidad, tanto de marcha como de materiales al interior.,El bajo costo de operación y la durabilidad del motor turbodiésel.","Aunque de muy buena calidad, el interior merecía ser renovado entre 2015 y la actualidad.,No tiene puerto USB, se necesita un adaptador especial.,Es una lástima que no llegue la nueva generación que presenta una interesante evolución."
,,6.55,"7.0,8.5,8.5","6.2,7.5,8.0","4.1,5.1,3.5","2.8,2.8,4.8","6.9,6.4,6.7","6.7,7.3,7.7","7.1,6.8,7.1","7.5,8.7,8.3","8.6,9.0,8.0","8.6,8.5,9.3","Se siente robusto: bien preparado para asfalto maltratado.,El espacio interior es bueno.,La respuesta del motor desde bajas revoluciones.,Su consumo fue el mejor de la comparativa.,Su dirección es muy ligera, ideal para la ciudad.,Es el más equipado de los tres: lleva CarPlay y Android Auto.,Su conducción es la más refinada de los tres.,El diseño exterior e interior es bastante original.,Su estructura es estable en caso de accidente.,Buen rendimiento de combustible.","Los acabados tienen un margen de mejora importante.,Su conducción es un tanto áspera.,El nivel de seguridad deja que desear.,Su nivel de seguridad deja que desear.,No tiene controles de audio al volante.,El costo de mantenimiento es elevado.,Por algún motivo, no tiene tacómetro.,Los vidrios traseros son manuales."
,,,,,,,,,,,,,,
Volkswagen Teramont ,Highline,8.2,8,10,8.5,8.5,8,8.5,9,5,9,7.5,"Es uno de los SUV de 7 plazas más espaciosos.,Hay mucha tecnología de seguridad.,La respuesta del motor es muy buena.","La suspensión es demasiado blanda.,No hay entretenimiento para las plazas traseras.,El consumo es elevado."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Honda HR-V ,Touring,8.3,8,8.5,8.5,9,8,8,7,8.5,10,8,"Gran versatilidad y practicidad, este sí es un SUV,Honda Lane Watch, toda asistencia extra se agradece,Buena percepción de calidad interior","La caja CVT hace que a veces se sienta un poco torpe para responder,Las seis bolsas de aire sólo están disponibles en la versión más cara"
Toyota RAV4 ,Hybrid Limitd,8.7,9,8,8.5,8,8,9,9,10,9,,"Cumple lo que promete: un bajo consumo de combustible.,Su conducción es suave y muy confortable.,Ofrece buen espacio interior.","La versión híbrida sólo está disponible como tope de gama.,No hay monitor de punto ciego ni sensores de proximidad."
KIA Sedona ,SXL,8.3,8.5,8,9,9,8,8,8.5,5.5,10,8.5,"El espacio interior: la tercera fila es amplia.,Buen nivel de equipamiento de confort y entretenimiento.,La calidad de marcha es buena, muy cómoda.,Hay versiones relativamente accesibles.","El consumo de gasolina es elevado.,Podría equipar más tecnologías de asistencia de conducción."
Toyota RAV4 ,Adventure,8.3,9,8,8.5,8,8,7.5,8.5,8.5,9,,"Los acabados son muy buenos; el contraste de la tapicería, genial.,Su marcha es muy cómoda.,Ofrece distintos programas todoterreno.,El espacio interior es bueno.","El motor le queda justo en potencia.,No hay monitor de punto ciego ni sensores de proximidad.,El infotenimiento es compatible con Apple CarPlay, pero no con Android Auto."
Cadillac XT4 ,,8.2,8,8,9,8.5,8.5,8,9,7.5,7.5,,"La relación potencia/consumo te va a dejar contento.,Su diseño exterior es muy atractivo y destaca en cualquier situación.,El nuevo sistema multimedia CUE 3.0 es exponencialmente mejor que su predecesor.","Cadillac trata de quedar bien con clientes entre 40 y 70 años, un objetivo muy difícil de lograr con un SUV de entrada.,El tamaño de XT4 queda entre los SUV compactos y los medianos, ¿cuál es su competencia real?,La marca necesita actualizar más elementos o Chevrolet les va a quedar muy cerca."
,,7.95,"8.7,8.5,8.6","8.7,8.0,9.1","6.2,7.0,6.8","8.7,9.3,8.7","7.6,6.8,7.5","8.0,7.7,9.3","9.3,8.8,7.9","7.4,8.7,8.2","7.4,8.7,7.5","7.5,8.5,8.6","Lo explosivo del motor turbo.,El sistema de infotenimiento: completo y atractivo.,Hay buen espacio interior y una cajuela amplia.,El nivel de equipamiento: muy completo.,Buen rendimiento de combustible.,Tiene 7 años de garantía.,Su conducción es la mejor carta de presentación.,La selección de materiales al interior es muy acertada.,El interior es altamente ergonómico. ","Hay algunas ausencias en el equipamiento.,Supera 400,000 pesos.,Hay retraso en la entrada del turbo.,Sus prestaciones son modestas frente a Mazda 3 y Jetta.,La transmisión IVT no favorece una conducción divertida.,Poco espacio interior.,Faltan algunos elementos de equipamiento.,El costo del seguro es elevado."
,,,,,,,,,,,,,,
Honda Fit ,1 Millón,8.1,8,6.5,8.5,8.5,8,9,8,8,10,7,"El espacio interior: muy bien aprovechado.,La respuesta del motor es buena.,Una vez que te acostumbras, LaneWatch es útil.","No lleva control electrónico de estabilidad.,Le faltan las bolsas de aire tipo cortina.,No es barato."
SEAT León ,FR SC,8.3,8.5,8,8,10,9,9,7,7.5,8,8,"El motor 1.4 TSI es uno de los más rendidores, no hay mejor relación potencia/consumo en el mercado mexicano.,Las sutiles diferencias entre la carrocería SC y la de 5 puertas, así se ve mejor.,Quien diga que el León no es el mejor hatchback familiar a precio razonable, es porque no ha manejado uno.","No había razón para descontinuar por completo las versiones de 3 puertas, aunque fueran un porcentaje bajo de las ventas totales.,El turbo-lag causado por la caja DSG, ni en modo Sport arranca rápido.,Tanto se le invirtió al diseño de los LED, y las direccionales traseras son de bulbo..."
Subaru Forester ,Limited,8.3,9.5,10,9,9,8,7,8,5,9,8.5,"Los acabados son de gran calidad.,Muchísima carga de tecnología en favor de la seguridad.,Buen espacio interior.,La conducción es muy cómoda.","El motor se queda corto para un SUV de casi 600,000 pesos.,El consumo de combustible es elevado."
Suzuki Vitara ,Boosterjet TA,8.5,7,9,8.5,8,9,10,9,8,7.5,8.5,"La respuesta del motor es muy buena.,Es divertido de conducir: ágil y ligero.,Hay un buen nivel de equipamiento.","Los acabados y ensambles tienen margen de mejora.,El modelo base (GLS) sólo tiene dos bolsas de aire.,El espacio en la fila trasera es algo justo."
,,9.0,9.5,9,9,9.5,9.5,9,10,7,8,9,"El nivel de refinamiento es extraordinario.,La conducción es precisa y cómoda a partes iguales.,Hay una estupenda sinergia entre motor y transmisión.,El grado de insonorización es superior a la media del segmento compacto.","El motor SKYACTIV-X quedó fuera de la oferta inicial.,No hay salidas de aire acondicionado en la fila trasera.,Un cargador inalámbrico para smartphones no hubiera estado mal.,La pieza principal del tablero se refleja mucho en el parabrisas."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mini Cooper S Convertible ,Hot Chili,8.3,9,9,9,9,10,9,9,7,5,7,"El look balanceado entre deportivo y elegante, los rines se ven espectaculares.,Funciona muy bien como hatchback.,El manejo de go-kart no se ve afectado siendo convertible.","Todo lo que pasa alrededor se escucha como si estuviera adentro.,Quien tiene un convertible siempre estará pensando en los canallas que quieran hacerle daño al techo de lona.,El tamaño de la cajuela es todavía más reducido que en un hatch."
,,,,,,,,,,,,,,
Hyundai Creta ,Limited,7.9,7,9,9,8,7,6,8,9,9,7,"Buen espacio interior.,Tiene garantía de 5 años y protección de llantas por 5 años.,El equipamiento de confort es completo.,Buen rendimiento de combustible.","El motor le queda justo.,Lleva frenos traseros de tambor.,Los plásticos al interior son muy rígidos.,Precio elevado."
,,8.32,"9.3,9.8","8.3,9.2","8.0,8.2","8.7,9.5","7.9,7.8","9.4,9.6","7.8,7.5","7.5,5.9","8.1,7.3","8.2,8.5","El rendimiento de combustible: 11.3 km/l en ciudad.,Lo explosivo del motor turbo es divertido.,Al volante es ágil y preciso.,La selección de materiales al interior es exquisita. ,Es ágil y divertido, pero también muy cómodo.,Buena respuesta del motor, muy lineal.","La suspensión se siente un tanto seca. ,Se echa de menos algo más de equipamiento.,Hay retraso en la entrada del turbo.,El rendimiento de combustible en ciudad.,No hay salidas de A/C ni puertos USB atrás."
,,,,,,,,,,,,,,
Peugeot 308 ,GT,8.0,9,7,7.5,7.5,8.5,8,9,9,7.5,7,"Basta verlo en una imagen para enamorarse...,El interior es único, de aspecto premium y muy ergonómico.,Excelente relación potencia/consumo.","Bye bye caja manual.,Peugeot debe desarrollar un motor 2.0 turbo para competir directo con GTI, la agilidad ya la tiene.,La ausencia en México de otras versiones de 308."
