TAGS,IDAG,ATRIBUTO GENERAL,IDE,ATRIBUTO ESPECIFICO,TOTAL,MAX
confort,1,clase o tipo,1,sedan,7,4
desempeño,1,clase o tipo,2,pick-up,6,5
"confort, ostentocidad",1,clase o tipo,3,suv,7,6
"confort, tecnologia",1,clase o tipo,4,hatchback,6,4
"confort, desempeño",1,clase o tipo,5,mini van,7,6
"ostentosidad, deportividad",1,clase o tipo,6,cupé,5,5
ostentosidad,1,clase o tipo,7,convertible,6,6
"economia, eficiencia",2,desplazamiento,8,desplazamiento 1.6L,7,6
"eficiencia, desempeño",2,desplazamiento,9,desplazamiento 2.5L,9,5
"desempeño, deportividad",2,desplazamiento,10,desplazamiento 4L,8,6
desempeño,2,desplazamiento,11,desplazamiento 7L,4,4
"economia, eficiencia",3,número y disposición de cilindros,12,3 cilindros,3,3
deportividad,3,número y disposición de cilindros,13,4 cilindros,10,6
"deportividad, desempeño",3,número y disposición de cilindros,14,"5,6 cilindros",10,7
desempeño,3,número y disposición de cilindros,15,"8,10 cilindros",8,7
economia,4,tipo de combustible,16,motor de gasolina,7,5
"desempeño, eficiencia",4,tipo de combustible,17,motor de diesel,6,5
eficiencia,4,tipo de combustible,18,motor hibrido,6,5
"eficiencia, ostentosidad",4,tipo de combustible,19,motor eléctrico,5,4
"economia, eficiencia",5,potencia hp @ rpm,20,potencia 110-,3,3
eficiencia,5,potencia hp @ rpm,21,potencia 111-200hp,7,4
deportividad,5,potencia hp @ rpm,22,potencia 201-310,6,4
"desempeño, deportividad",5,potencia hp @ rpm,23,potencia 311+,4,4
economia,6,torque lb-pie @ rpm,24,torque 110-,4,4
economia,6,torque lb-pie @ rpm,25,torque 111-200hp,10,6
desempeño,6,torque lb-pie @ rpm,26,torque 201-310,9,6
desempeño,6,torque lb-pie @ rpm,27,torque 311+,6,6
desempeño,7,rendimiento de combustible en ciudad,28,10km/L ciudad,3,3
desempeño,7,rendimiento de combustible en ciudad,29,15km/L ciudad,3,2
eficiencia,7,rendimiento de combustible en ciudad,30,20km/L ciudad,5,5
deportividad,8,rendimiento de combustible en carretera,31,15km/L carretera,2,2
desempeño,8,rendimiento de combustible en carretera,32,20km/L carretera,2,2
eficiencia,8,rendimiento de combustible en carretera,33,25km/L carretera,5,5
"desempeño, deportividad",9,rendimiento de combustible combinado,34,13km/L combinado,3,3
desempeño,9,rendimiento de combustible combinado,35,18km/L combinado,3,3
eficiencia,9,rendimiento de combustible combinado,36,23km/L combinado,4,4
"economia, deportividad",10,transmisión ,37,transmisión manual ,6,5
"confort, eficiencia",10,transmisión ,38,transmisión automática ,8,7
desempeño,10,transmisión ,39,transmisión cvt ,6,6
"desempeño, eficiencia",10,transmisión ,40,transmisión dsg,8,7
desempeño,11,tracción,41,tracción 4wd / awd,6,5
desempeño,11,tracción,42,tracción 4x4,4,4
desempeño,12,suspensión trasera,43,suspensión trasera semi independiente,8,8
"confort, deportividad",12,suspensión trasera,44,suspensión trasera independiente,8,8
economia,13,frenos traseros,45,frenos traseros de tambor,5,5
"seguridad, deportividad",13,frenos traseros,46,frenos traseros de disco,11,11
seguridad,14,sistema de frenado,47,sistema de frenado ABS,5,5
"seguridad, seguridad",14,sistema de frenado,48,sistema de frenado ABS / EBD /BA,8,6
ostentosidad,15,llantas,49,perfil de llanta 55%,7,7
confort,15,llantas,50,perfil de llanta80%,10,8
economia,16,rines,51,rines de acero,4,3
"ostentosidad, deportividad",16,rines,52,rines de aluminio,4,4
"confort, seguridad",17,faros de niebla,53,faros de niebla,7,7
"ostentosidad, confort",18,luces direccionales en espejos laterales,54,luces direccionales en espejos laterales,5,5
