marca,modelo,año,versión,general,confort,desempeño,tecnología,ostentosidad,deportividad,economía,eficiencia,seguridad,ecología,a_favor,en_contra,cP,cN,nombre
NISSAN,370Z,2020,TOURING TM,8.1,5.7,9.333333333333334,6.0,9.0,8.333333333333334,3.5,3.0,9.0,4.0,"Precio, motor V6, postura de conducción, tracción trasera, autenticidad Manejo al estilo retro,Preciso,Nota de motor que enamora,Brutalmente llamativo","Interior obsoleto, plásticos muy mejorables, biplaza estricto, diseño algo desfasado Infotenimiento viejo... viejísimo,Precio elevado comparado a otros deportivos",,,NISSAN 370Z TOURING TM
NISSAN,370Z,2020,TOURING TA,8.1,5.7,9.333333333333334,6.0,9.0,8.333333333333334,3.5,3.0,9.0,4.0,"Precio, motor V6, postura de conducción, tracción trasera, autenticidad Manejo al estilo retro,Preciso,Nota de motor que enamora,Brutalmente llamativo","Interior obsoleto, plásticos muy mejorables, biplaza estricto, diseño algo desfasado Infotenimiento viejo... viejísimo,Precio elevado comparado a otros deportivos",,,NISSAN 370Z TOURING TA
NISSAN,ALTIMA,2020,SR,,,,,,,,,,,,,,,NISSAN ALTIMA SR
NISSAN,ALTIMA,2020,ADVANCE,,,,,,,,,,,,,,,NISSAN ALTIMA ADVANCE
NISSAN,ALTIMA,2020,EXCLUSIVE,,,,,,,,,,,,,,,NISSAN ALTIMA EXCLUSIVE
NISSAN,MARCH,2020,SENSE TM,,,,,,,,,,,,,2.0,,NISSAN MARCH SENSE TM
NISSAN,MARCH,2020,SENSE TA,,,,,,,,,,,,,2.0,,NISSAN MARCH SENSE TA
NISSAN,MARCH,2020,ADVANCE TM,,,,,,,,,,,,,2.0,,NISSAN MARCH ADVANCE TM
NISSAN,MARCH,2020,ADVANCE TA,,,,,,,,,,,,,2.0,,NISSAN MARCH ADVANCE TA
NISSAN,MARCH,2020,EXCLUSIVE TA,,,,,,,,,,,,,2.0,,NISSAN MARCH EXCLUSIVE TA
NISSAN,MARCH,2020,SR TM,,,,,,,,,,,,,2.0,,NISSAN MARCH SR TM
NISSAN,KICKS,2020,SENSE TM,7.3,7.433333333333334,7.1,7.8,,7.2,,7.0,7.3,,"Diseño,Equipamiento,Calidad/Terminación,Baúl,Auxilio","Funcionamiento de caja,Consumo urbano,Recuperaciones,Dirección sobreasistida,Autonomía",2.0,6.0,NISSAN KICKS SENSE TM
NISSAN,KICKS,2020,ADVANCE CVT,7.3,7.433333333333334,7.1,7.8,,7.2,,7.0,7.3,,"Diseño,Equipamiento,Calidad/Terminación,Baúl,Auxilio","Funcionamiento de caja,Consumo urbano,Recuperaciones,Dirección sobreasistida,Autonomía",2.0,6.0,NISSAN KICKS ADVANCE CVT
NISSAN,KICKS,2020,EXCLUSIVE CVT,7.3,7.433333333333334,7.1,7.8,,7.2,,7.0,7.3,,"Diseño,Equipamiento,Calidad/Terminación,Baúl,Auxilio","Funcionamiento de caja,Consumo urbano,Recuperaciones,Dirección sobreasistida,Autonomía",2.0,6.0,NISSAN KICKS EXCLUSIVE CVT
NISSAN,MURANO,2020,EXCLUSIVE AWD,8.0,7.933333333333333,7.7,8.3,,7.4,,8.0,8.1,,"Estética deportiva,Potencia disponible,Calidad general,Consumo contenido,Confort de marcha","Capacidad off road,Sin levas al volante,Faltantes de equipamiento,Precio elevado,Sistema multimeda/navegador",,,NISSAN MURANO EXCLUSIVE AWD
NISSAN,ARMADA,2020,EXCLUSIVE 4 WD,,,,,,,,,,,,,,,NISSAN ARMADA EXCLUSIVE 4 WD
NISSAN,FRONTIER,2020,PRO-4X 4X2,7.6,7.8999999999999995,7.85,8.2,,7.7,,8.0,7.8,,"Equipamiento mejorado,Confort de marcha,Neumáticos más off road,Precio final","Sin bloqueo diferencial trasero,Posición de manejo,Algunas terminaciones,Garantía",2.0,2.0,NISSAN FRONTIER PRO-4X 4X2
NISSAN,FRONTIER,2020,PRO-4X 4X4,7.6,7.8999999999999995,7.85,8.2,,7.7,,8.0,7.8,,"Equipamiento mejorado,Confort de marcha,Neumáticos más off road,Precio final","Sin bloqueo diferencial trasero,Posición de manejo,Algunas terminaciones,Garantía",2.0,2.0,NISSAN FRONTIER PRO-4X 4X4
NISSAN,PATHFINDER,2020,SENSE,,,,,,,,,,,,,,,NISSAN PATHFINDER SENSE
NISSAN,PATHFINDER,2020,ADVANCE,,,,,,,,,,,,,,,NISSAN PATHFINDER ADVANCE
NISSAN,PATHFINDER,2020,EXCLUSIVE,,,,,,,,,,,,,,,NISSAN PATHFINDER EXCLUSIVE
NISSAN,PATHFINDER,2020,EXCLUSIVE 4WD,,,,,,,,,,,,,,,NISSAN PATHFINDER EXCLUSIVE 4WD
NISSAN ,SENTRA,2020,SENSE TM,,,,,,,,,,,,,,,NISSAN  SENTRA SENSE TM
NISSAN ,SENTRA,2020,SENSE CVT,,,,,,,,,,,,,,,NISSAN  SENTRA SENSE CVT
NISSAN ,SENTRA,2020,ADVANCE TM,,,,,,,,,,,,,,,NISSAN  SENTRA ADVANCE TM
NISSAN ,SENTRA,2020,ADVANCE CVT,,,,,,,,,,,,,,,NISSAN  SENTRA ADVANCE CVT
NISSAN ,SENTRA,2020,SR TM,,,,,,,,,,,,,,,NISSAN  SENTRA SR TM
NISSAN ,SENTRA,2020,SR CVT,,,,,,,,,,,,,,,NISSAN  SENTRA SR CVT
NISSAN ,SENTRA,2020,EXCLUSIVE CVT,,,,,,,,,,,,,,,NISSAN  SENTRA EXCLUSIVE CVT
NISSAN ,GT-R,2020,GT-R PREMIUM,,,,,,,,,,,,,,,NISSAN  GT-R GT-R PREMIUM
NISSAN ,JUKE,2020,SENSE CVT,,,,,,,,,,,,,,,NISSAN  JUKE SENSE CVT
NISSAN ,JUKE,2020,ADVANCE CVT,,,,,,,,,,,,,,,NISSAN  JUKE ADVANCE CVT
NISSAN ,JUKE,2020,EXCLUSIVE MT TURBO,,,,,,,,,,,,,,,NISSAN  JUKE EXCLUSIVE MT TURBO
NISSAN ,JUKE,2020,EXCLUSIVE CVT TURBO AWD,,,,,,,,,,,,,,,NISSAN  JUKE EXCLUSIVE CVT TURBO AWD
NISSAN ,NOTE,2020,SENSE MT,,,,,,,,,,,,,,,NISSAN  NOTE SENSE MT
NISSAN ,NOTE,2020,SENSE CVT,,,,,,,,,,,,,,,NISSAN  NOTE SENSE CVT
NISSAN ,NOTE,2020,ADVANCE MT,,,,,,,,,,,,,,,NISSAN  NOTE ADVANCE MT
NISSAN ,NOTE,2020,ADVANCE CVT,,,,,,,,,,,,,,,NISSAN  NOTE ADVANCE CVT
NISSAN ,TIIDA SEDAN,2020,DRIVE TM,,,,,,,,,,,,,,,NISSAN  TIIDA SEDAN DRIVE TM
NISSAN ,TIIDA SEDAN,2020,SENSE TM,,,,,,,,,,,,,,,NISSAN  TIIDA SEDAN SENSE TM
NISSAN ,TIIDA SEDAN,2020,SENSE TA,,,,,,,,,,,,,,,NISSAN  TIIDA SEDAN SENSE TA
NISSAN ,TIIDA SEDAN,2020,ADVANCE TM,,,,,,,,,,,,,,,NISSAN  TIIDA SEDAN ADVANCE TM
NISSAN ,TIIDA SEDAN,2020,ADVANCE TA,,,,,,,,,,,,,,,NISSAN  TIIDA SEDAN ADVANCE TA
NISSAN ,LEAF,2020,S (40KW),,,,,,,,,,,,,,,NISSAN  LEAF S (40KW)
NISSAN ,LEAF,2020,SL (40KW),,,,,,,,,,,,,,,NISSAN  LEAF SL (40KW)
NISSAN ,LEAF,2020,SL BITONO (40KW),,,,,,,,,,,,,,,NISSAN  LEAF SL BITONO (40KW)
NISSAN ,MAXIMA,2020,ADVANCE,,,,,,,,,,,,,,,NISSAN  MAXIMA ADVANCE
NISSAN ,MAXIMA,2020,SR,,,,,,,,,,,,,,,NISSAN  MAXIMA SR
NISSAN ,MAXIMA,2020,EXCLUSIVE,,,,,,,,,,,,,,,NISSAN  MAXIMA EXCLUSIVE
NISSAN ,NP300 FRONTIER,2020,XE TM,,,,,,,,,,,,,,,NISSAN  NP300 FRONTIER XE TM
NISSAN ,NP300 FRONTIER,2020,LE TM,,,,,,,,,,,,,,,NISSAN  NP300 FRONTIER LE TM
NISSAN ,NP300 FRONTIER,2020,PLATINUM LE TM,,,,,,,,,,,,,,,NISSAN  NP300 FRONTIER PLATINUM LE TM
NISSAN ,NP300 FRONTIER,2020,COBLE CABINA DIESEL 4X4 TM AC,,,,,,,,,,,,,,,NISSAN  NP300 FRONTIER COBLE CABINA DIESEL 4X4 TM AC
NISSAN ,NP300 FRONTIER,2020,LE 4X4 TA DIESEL,,,,,,,,,,,,,,,NISSAN  NP300 FRONTIER LE 4X4 TA DIESEL
NISSAN ,VERSA,2020,SENSE TM,,,,,,,,,,,,,,,NISSAN  VERSA SENSE TM
NISSAN ,VERSA,2020,SENSE TA,,,,,,,,,,,,,,,NISSAN  VERSA SENSE TA
NISSAN ,VERSA,2020,ADVACE TM,,,,,,,,,,,,,,,NISSAN  VERSA ADVACE TM
NISSAN ,VERSA,2020,ADVANCE TA,,,,,,,,,,,,,,,NISSAN  VERSA ADVANCE TA
NISSAN ,VERSA,2020,EXCLUSIVE TA,,,,,,,,,,,,,,,NISSAN  VERSA EXCLUSIVE TA
NISSAN ,X-TRAIL,2020,SENSE 2ROW,,,,,,,,,,,,,,,NISSAN  X-TRAIL SENSE 2ROW
NISSAN ,X-TRAIL,2020,SENSE 3ROW,,,,,,,,,,,,,,,NISSAN  X-TRAIL SENSE 3ROW
NISSAN ,X-TRAIL,2020,ADVANCE 2ROW,,,,,,,,,,,,,,,NISSAN  X-TRAIL ADVANCE 2ROW
NISSAN ,X-TRAIL,2020,ADVANCE 3ROW,,,,,,,,,,,,,,,NISSAN  X-TRAIL ADVANCE 3ROW
NISSAN ,X-TRAIL,2020,EXCLUSIVE 2ROW,,,,,,,,,,,,,,,NISSAN  X-TRAIL EXCLUSIVE 2ROW
NISSAN ,X-TRAIL,2020,EXCLUSIVE 3ROW,,,,,,,,,,,,,,,NISSAN  X-TRAIL EXCLUSIVE 3ROW
NISSAN ,X-TRAIL,2020,EXCLUSIVE HEV,,,,,,,,,,,,,,,NISSAN  X-TRAIL EXCLUSIVE HEV
AUDI,A5 COUPE,2019,A5 40 TFSI SELECT,7.9,8.133333333333333,8.35,7.9,,8.5,,8.2,8.0,,"Diseño atractivo,Term./materiales,Prest. deportivas,Dinámica rutera,Tracción ""quattro""","Precio comparativo,Plazas traseras/Acceso,Visibilidad panorámica,Auxilio temporal,Despeje limitado",,,AUDI A5 COUPE A5 40 TFSI SELECT
AUDI,A5 COUPE,2019,A5 40 TFSI S LINE,7.9,8.133333333333333,8.35,7.9,,8.5,,8.2,8.0,,"Diseño atractivo,Term./materiales,Prest. deportivas,Dinámica rutera,Tracción ""quattro""","Precio comparativo,Plazas traseras/Acceso,Visibilidad panorámica,Auxilio temporal,Despeje limitado",,,AUDI A5 COUPE A5 40 TFSI S LINE
AUDI,A5 COUPE,2019,A5 45 TFSI ELITE QUATTRO,7.9,8.133333333333333,8.35,7.9,,8.5,,8.2,8.0,,"Diseño atractivo,Term./materiales,Prest. deportivas,Dinámica rutera,Tracción ""quattro""","Precio comparativo,Plazas traseras/Acceso,Visibilidad panorámica,Auxilio temporal,Despeje limitado",,,AUDI A5 COUPE A5 45 TFSI ELITE QUATTRO
AUDI,A5 COUPE,2019,A5 45 TFSI S LINE QUATTRO,7.9,8.133333333333333,8.35,7.9,,8.5,,8.2,8.0,,"Diseño atractivo,Term./materiales,Prest. deportivas,Dinámica rutera,Tracción ""quattro""","Precio comparativo,Plazas traseras/Acceso,Visibilidad panorámica,Auxilio temporal,Despeje limitado",,,AUDI A5 COUPE A5 45 TFSI S LINE QUATTRO
AUDI,A6,2019,A6 55 TFSI ELITE QUATTRO,9.2,6.4,10.0,10.0,9.5,7.333333333333333,3.3333333333333335,3.3333333333333335,9.5,4.5,"Su manejo: tan dinámico como sedoso.,El infotenimiento es uno de los más completos del momento.,Acabados exquisitos al interior.","Mucho equipamiento es opcional.,En México sólo hay una configuración mecánica disponible.",,,AUDI A6 A6 55 TFSI ELITE QUATTRO
AUDI,A6,2019,A6 55 TFSI S LINE QUATTRO,9.2,6.4,10.0,10.0,9.5,7.333333333333333,3.3333333333333335,3.3333333333333335,9.5,4.5,"Su manejo: tan dinámico como sedoso.,El infotenimiento es uno de los más completos del momento.,Acabados exquisitos al interior.","Mucho equipamiento es opcional.,En México sólo hay una configuración mecánica disponible.",,,AUDI A6 A6 55 TFSI S LINE QUATTRO
AUDI,A7,2019,A7 55 TFSI ELITE QUATTRO,,3.0,,,,4.0,1.0,1.0,,1.0,"Diseño y calidad interior, exclusividad, confort y silencio de marcha","Tacto de dirección, comportamiento poco deportivo",,,AUDI A7 A7 55 TFSI ELITE QUATTRO
AUDI,A7,2019,A7 55 TFSI S LINE QUTTRO,,3.0,,,,4.0,1.0,1.0,,1.0,"Diseño y calidad interior, exclusividad, confort y silencio de marcha","Tacto de dirección, comportamiento poco deportivo",,,AUDI A7 A7 55 TFSI S LINE QUTTRO
AUDI,A5 SPORTBACK,2019,A5 SB 40 TFSI SELECT,3.7,3.0,,,,4.0,1.0,1.5,,2.0,"Calidad, comportamiento, gama","Equipo de serie, precio",,,AUDI A5 SPORTBACK A5 SB 40 TFSI SELECT
AUDI,A5 SPORTBACK,2019,A5 SB 40 TFSI S LINE,3.7,3.0,,,,4.0,1.0,1.5,,2.0,"Calidad, comportamiento, gama","Equipo de serie, precio",,,AUDI A5 SPORTBACK A5 SB 40 TFSI S LINE
AUDI,A5 SPORTBACK,2019,A5 SB 45 TFSI ELITE QUATTRO,3.7,3.0,,,,4.0,1.0,1.5,,2.0,"Calidad, comportamiento, gama","Equipo de serie, precio",,,AUDI A5 SPORTBACK A5 SB 45 TFSI ELITE QUATTRO
AUDI,A5 SPORTBACK,2019,A5 SB 45 TFSI S LINE QUATTRO,3.7,3.0,,,,4.0,1.0,1.5,,2.0,"Calidad, comportamiento, gama","Equipo de serie, precio",,,AUDI A5 SPORTBACK A5 SB 45 TFSI S LINE QUATTRO
AUDI,TTS,2020,TTS TFSI QUATTRO,8.6,8.0,9.333333333333334,10.0,10.0,9.0,8.0,7.5,8.75,7.5,"Su diseño ya es todo un ícono.,Es rápido, preciso y fácil de controlar.,Los acabados interiores son dignos del calificativo premium.","Los asientos traseros son casi de adorno.,No lleva de serie ninguna asistencia de conducción.,En México ya no se vende el TT ""a secas"" con versiones más accesibles.",,,AUDI TTS TTS TFSI QUATTRO
AUDI,A4,2020,A4 40 TFSI DYNAMIC,4.0,2.0,,,,2.0,1.0,1.5,,2.0,"Calidad de construcción, diseño interior y materiales, tecnología","Estética muy clásica, tacto de conducción por detrás de sus rivales",,,AUDI A4 A4 40 TFSI DYNAMIC
AUDI,A4,2020,A4 40 TFSI SELECT,4.0,2.0,,,,2.0,1.0,1.5,,2.0,"Calidad de construcción, diseño interior y materiales, tecnología","Estética muy clásica, tacto de conducción por detrás de sus rivales",,,AUDI A4 A4 40 TFSI SELECT
AUDI,A4,2020,A4 40 TFSI S LINE,4.0,2.0,,,,2.0,1.0,1.5,,2.0,"Calidad de construcción, diseño interior y materiales, tecnología","Estética muy clásica, tacto de conducción por detrás de sus rivales",,,AUDI A4 A4 40 TFSI S LINE
AUDI,A3 CABRIOLET,2020,A3CABRIOLET 40 TFSI SELECT,,,,,,,,,,,,,,,AUDI A3 CABRIOLET A3CABRIOLET 40 TFSI SELECT
AUDI,A3 CABRIOLET,2020,A3CABRIOLET 40 TFSI S LINE,,,,,,,,,,,,,,,AUDI A3 CABRIOLET A3CABRIOLET 40 TFSI S LINE
AUDI,A3 SEDAN,2020,A3 SEDÁN 35 TFSI DYNAMIC,3.6,2.0,,,,2.0,1.0,1.5,,2.0,"Calidad y diseño interior, tecnología","Estética muy clásica, precio",,,AUDI A3 SEDAN A3 SEDÁN 35 TFSI DYNAMIC
AUDI,A3 SEDAN,2020,A3 SEDÁN 35 TFSI SELECT,3.6,2.0,,,,2.0,1.0,1.5,,2.0,"Calidad y diseño interior, tecnología","Estética muy clásica, precio",,,AUDI A3 SEDAN A3 SEDÁN 35 TFSI SELECT
AUDI,A3 SEDAN,2020,A3 SEDÁN 40 TFSI DYNAMIC,3.6,2.0,,,,2.0,1.0,1.5,,2.0,"Calidad y diseño interior, tecnología","Estética muy clásica, precio",,,AUDI A3 SEDAN A3 SEDÁN 40 TFSI DYNAMIC
AUDI,A3 SEDAN,2020,A3 SEDÁN 40 TFSI SELECT,3.6,2.0,,,,2.0,1.0,1.5,,2.0,"Calidad y diseño interior, tecnología","Estética muy clásica, precio",,,AUDI A3 SEDAN A3 SEDÁN 40 TFSI SELECT
AUDI,A3 SEDAN,2020,A3 SEDÁN 40 TFSI S LINE,3.6,2.0,,,,2.0,1.0,1.5,,2.0,"Calidad y diseño interior, tecnología","Estética muy clásica, precio",,,AUDI A3 SEDAN A3 SEDÁN 40 TFSI S LINE
AUDI,A8 ,2020,3.0 TFSI QUATTRO,9.1,6.7,8.666666666666666,10.0,10.0,6.333333333333333,3.3333333333333335,5.5,9.0,7.75,"A8 es un escaparate de la mejor tecnología de Audi.,La sensación de lujo.,El consumo reducido por el sistema Mild-Hybrid.","No nos alcanza para uno.,La inseguridad de la CDMX nos provoca una sensación constante de paranoia.,Extrañamos la versión con motor V8, habrá que esperar.",,,AUDI A8  3.0 TFSI QUATTRO
