Nombre,Marca,Modelo,Estrellas,Opinion,Votos,Fecha
Chevrolet Zafira 2004 5 puerta full full,chevrolet,Zafira,5,Buenas . Pongo en marcha la camioneta y a las 2 minutos se para el motor de la nada se enfría y arranca lo más bien  hago 20 metros y se vuelve a parar,0,2020-10-26 23:47:30.622000+00:00
Chevrolet Zafira 2005,chevrolet,Zafira,4,"ME PARECE BUENO, PERO NO LE HE PODIDO ARREGLAR LA BOTADERA DE AGUA POR LA TAPA DEL DEPOSITO YA SE LACAMBIE Y LA SIGUE BOTANDO",0,2020-09-22 19:53:00.078000+00:00
Chevrolet Zafira 2004,chevrolet,Zafira,4,Alguien me puede ayudar el carro amanece total mente descargado de batería pero no se detecta fuga de corriente,-1,2020-09-06 17:01:11.599000+00:00
Chevrolet Zafira 2007 Full,chevrolet,Zafira,4,Me gusta pero tiene un carro y una llave en el panel de color amarillo quiero saber que es,0,2020-08-18 02:04:50.829000+00:00
Chevrolet Zafira 2005 2.0 16v 7 asientos,chevrolet,Zafira,3,El vehiculo es buen auto .detalles a corregir los precios de los repuestos se abusan mucho debido a los cables de la selectora q salen mas de 30.000 pesos y si pones alternativos renegas mucho no se si alguien adapto algo parecido a original es con lo único q estoy teniendo problemaa,0,2020-08-06 15:41:19.450000+00:00
Chevrolet Zafira 2006 Zafira 2.2 motor ecotec,chevrolet,Zafira,3,Hola buenas tardes el problema es que se dañó la computadora quisiera saber si alguien sabe dónde la puedo conseguir el modelo es FGP UT marca siemens soy de la CDMX,0,2020-06-06 23:50:48.306000+00:00
Chevrolet Zafira 2005 Mecánico Motor 2.0,chevrolet,Zafira,4,"Buenos días. , Disculpen hace poco compré una Zafira 2005 con 260.000km quiero saber opiniones y si para arrancarla ahora después de la cuarentena hay que tener algún cuidado especial. , Lo único que le he hecho ha Sido el cambio de aceite. , Agradezco sus opiniones.",0,2020-05-01 14:15:38.437000+00:00
Chevrolet Zafira 2004 4 puertas 2000,chevrolet,Zafira,5,"Excelente vehículo  , Confortable  , Amplio",0,2020-04-13 21:32:23.898000+00:00
Chevrolet Zafira 2004 2.0,chevrolet,Zafira,4,"Quisiera saber dónde conseguir el depósito del anticongelante de la Zafira, o si de algún otro modelo se le puede adaptar",0,2020-02-16 16:41:36.468000+00:00
Chevrolet Zafira 2005 Full cuero 2.0 16v,chevrolet,Zafira,5,"Excelente.falla climatizador . , En diplay dice ""Pr""..que es??",0,2020-01-24 00:11:13.127000+00:00
Chevrolet Zafira 2005 8 valvulas,chevrolet,Zafira,5,"Exelente vehículo tengo 190000 km sin tocarle el embrague ni nada del tren delantero solo una rotula y patas de motor y caja, respetando los servicios a tiempo y en concesionario oficial nunca me da ningún dolor se cabeza , muy contento con ella",4,2020-01-02 00:58:10.692000+00:00
Chevrolet Zafira 2006,chevrolet,Zafira,4,de la chevrolet zafira es muy buena maquina un poco lento al despegar pero de larga duracion.,0,2019-12-06 14:08:39.340000+00:00
Chevrolet Zafira 2004 2.0 élite automatica,chevrolet,Zafira,3,Hola recién la compre 3 días conmigo excelente confort y espacio por ahora todo bien algún comentario me hicieron de su consumo veremos que tal resulta pero igual nos sentimos conformes la flia esta feliz esperemos pronto hablar mucho mejor de ella grscias,4,2019-11-21 14:36:21.763000+00:00
Chevrolet Zafira 2008 GL,chevrolet,Zafira,5,"Tuve una 2003 gls 16 v un caño 301000 km la vendí por eso solamente ahora me compre una 2008 GL hay la estamos probando, por ahora todo bien",1,2019-10-24 19:52:42.786000+00:00
Chevrolet Zafira 2006 5 puertas motor full equipada y trae caja nueva,chevrolet,Zafira,5,Lo que pasa es que mi zafira la trai bien de un momento a otro me toco echar reversa todo bien pero cuando queria retomar asia adelante se quedo en reversa y no sale de ayy que sera?????,0,2019-04-29 03:31:01.355000+00:00
Chevrolet Zafira 2002 Comfort,chevrolet,Zafira,1,Super latoso el vehículo decepción completamente y piezas excesivamente caras,4,2019-04-11 12:14:29.802000+00:00
Chevrolet Zafira 2007 5 puertas,chevrolet,Zafira,5,Lo compre hace casi un año lo unico que le puse fue nafta y agua para el radiador de ahi no gaste en mas nada un caño,0,2019-04-05 21:14:05.762000+00:00
"Chevrolet Zafira 2003 4 puertas, motor 2,2",chevrolet,Zafira,4,Me podrán decir en que parte del vehículo se encuentra la computadora,0,2019-01-30 04:00:41.122000+00:00
Chevrolet Zafira 2002 CONFOR 2.2,chevrolet,Zafira,5,"TRAE 220,000 KM Y LO QUE LE FALTA , SIN GRANDES PROBLEMAS, EL PROBLEMA MAS GRANDE QUE ME HA DADO ES EL ENCONTRAR UN BUEN MECANICO",3,2019-01-10 04:10:42.914000+00:00
Chevrolet Zafira 2005 motor ecotec 2.2 automatica,chevrolet,Zafira,5,"muy buen vehículo, los problemas que salen son sencillos de corregir, aqui el problema son algunos mecanicos que se aprovechan de que uno no sabe y te la aplican",6,2018-11-26 16:44:27.349000+00:00
"Chevrolet Zafira 2003 5 ptas, motor 2.2 automatic confort",chevrolet,Zafira,5,"es un super vehiculo en todos los aspectos, tan bueno que siempre me lo quieren comprar.",1,2018-11-12 17:01:50.072000+00:00
